City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
492,north vanlaiphai,IN,overcast clouds,63.34,23.13,93.07,pu lalluna in
493,george town,MY,thunderstorm,80.6,5.41,100.34,Cititel Penang
494,honiara,SB,few clouds,71.6,-9.43,159.95,Heritage Park Hotel
497,yarmouth,US,clear sky,82.99,41.71,-70.23,The Inn At Cape Cod
498,suluova,TR,scattered clouds,66.2,40.83,35.65,GÜN APART
499,kencong,ID,broken clouds,72.09,-8.28,113.37,PP. AL-QUR'AN AL-FADHILAH
500,hesla,IN,overcast clouds,86.07,24.07,85.88,Khurshid Dhaba
501,cap malheureux,MU,clear sky,73.0,-19.98,57.61,Pereybere Hotel & Spa
503,marawi,PH,broken clouds,75.0,8.0,124.29,Derogongan Residence
504,cairns,AU,overcast clouds,68.0,-16.92,145.77,Mantra Trilogy Cairns
505,san pedro buenavista,MX,broken clouds,84.2,16.08,-93.12,
506,ponta delgada,PT,few clouds,66.2,37.73,-25.67,Vila Nova Hotel
507,shache,CN,clear sky,74.91,38.42,77.24,Delong Hotel
508,salalah,OM,scattered clouds,84.2,17.02,54.09,HAMDAN PLAZA HOTEL
509,solec kujawski,PL,broken clouds,77.0,53.08,18.23,MM-Rooms
510,naze,JP,broken clouds,78.8,28.37,129.48,奄美ポートタワーホテル
511,vicosa,BR,overcast clouds,68.95,-20.75,-42.88,Vivant Residence
513,hershey,US,few clouds,84.2,40.29,-76.65,Days Inn by Wyndham Hershey
514,nivala,FI,broken clouds,73.99,63.92,24.97,Hotelli Huiskankorpi / Aseman majatalo
515,pochutla,MX,broken clouds,90.0,15.74,-96.47,Hotel Posada San Jose
517,kieta,PG,broken clouds,79.27,-6.22,155.63,
518,tual,ID,overcast clouds,80.51,-5.67,132.75,Grand Vilia Hotel
519,coahuayana,MX,broken clouds,82.4,18.73,-103.68,Hotel Los Arcos
520,buffalo,US,few clouds,79.0,42.89,-78.88,Embassy Suites by Hilton Buffalo
523,zabol,AF,clear sky,71.67,32.25,67.25,
525,potoci,BA,clear sky,77.0,43.41,17.88,Zemljani - Laboratorija Samoodrživosti
526,formiga,BR,scattered clouds,72.36,-20.46,-45.43,Clube Náutico Formiguense - Escritório
527,ust-nera,RU,clear sky,69.24,64.57,143.2,Hotel Ust-Nera
528,leua,SK,overcast clouds,75.0,48.22,18.61,Business Hotel ASTRUM Laus
529,dong hoi,VN,overcast clouds,83.8,17.48,106.6,Nam Long Hotel
530,souillac,MU,shower rain,73.4,-20.52,57.52,Bils' Villa
531,nicosia,CY,clear sky,78.01,35.17,33.37,The Landmark Nicosia
532,isangel,VU,broken clouds,69.8,-19.55,169.27,Volcano Sea View Tree House
534,paita,PE,overcast clouds,75.2,-5.09,-81.11,Hotel Náutico de Paita
537,enshi,CN,scattered clouds,72.25,30.3,109.48,Moevenpick Enshi
539,kon tum,VN,overcast clouds,70.65,14.35,108.0,Hoa đà spa- homestay
540,price,US,clear sky,89.6,39.6,-110.81,National 9 - Price River Inn
541,kenai,US,few clouds,60.8,60.55,-151.26,Aspen Extended Stay Suites
543,sioux lookout,CA,scattered clouds,78.8,50.1,-91.92,Knobby's Fly-In Camps
544,labateca,CO,dust,89.6,7.3,-72.49,Hotel Irene Royal
545,guerrero negro,MX,few clouds,73.8,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
548,biltine,TD,overcast clouds,85.87,14.53,20.92,Hôtel Trois Étoiles de Biltine
549,moshenskoye,RU,broken clouds,63.86,58.51,34.59,
550,srandakan,ID,broken clouds,73.29,-7.94,110.25,Puri Brata
551,tateyama,JP,overcast clouds,73.0,34.98,139.87,Tateyama Seaside Hotel
552,zhezkazgan,KZ,broken clouds,72.55,47.8,67.71,Kvartiry Posutochno.
553,laukaa,RU,clear sky,66.43,58.74,29.85,U Lysoy Gory Hotel
554,am timan,TD,overcast clouds,84.24,11.03,20.28,
556,brewster,US,few clouds,86.0,41.4,-73.62,Heidi's Inn
559,abu samrah,SY,clear sky,74.93,35.3,37.18,
562,namatanai,PG,overcast clouds,79.86,-3.67,152.43,Namatanai Hotel
565,alyth,GB,clear sky,66.0,56.62,-3.23,Lands of Loyal Hotel
566,narayangarh,IN,clear sky,89.04,30.48,77.13,Hotel Paris
