City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Turtas,58.94,69.13,49.8,98,100,6.2,RU,2020-06-24 23:15:58
274,Saint-Augustin,51.23,-58.65,65.64,78,76,18.07,CA,2020-06-24 23:14:06
275,Esso,55.93,158.7,68.36,43,33,7.07,RU,2020-06-24 23:15:58
276,Ostrovnoy,68.05,39.51,42.21,86,100,3.87,RU,2020-06-24 23:15:58
277,Kupang,-10.17,123.58,73.4,88,20,4.7,ID,2020-06-24 23:15:59
278,Scarborough,54.28,-0.4,59.0,80,0,7.25,GB,2020-06-24 23:15:59
279,Gdov,58.74,27.81,65.07,64,0,4.03,RU,2020-06-24 23:15:59
280,Rodez,44.5,2.58,69.01,68,13,6.93,FR,2020-06-24 23:15:59
281,Puerto Escondido,15.85,-97.07,84.2,70,90,3.27,MX,2020-06-24 23:15:59
282,Hay River,60.82,-115.8,71.6,40,40,8.05,CA,2020-06-24 23:14:30
283,Tokur,53.13,132.9,50.81,73,100,4.47,RU,2020-06-24 23:15:59
284,Ayan,56.45,138.17,44.47,92,100,2.24,RU,2020-06-24 23:16:00
285,Santander,43.46,-3.8,68.0,83,99,4.0,ES,2020-06-24 23:13:09
286,Aykhal,66.0,111.5,69.8,35,38,4.47,RU,2020-06-24 23:16:00
287,Camabatela,-8.19,15.38,59.18,58,10,2.64,AO,2020-06-24 23:16:00
288,Labuhan,-6.88,112.21,75.16,87,86,7.34,ID,2020-06-24 23:16:00
289,Marsa Matruh,31.35,27.25,71.6,73,40,6.93,EG,2020-06-24 23:16:00
290,Halifax,44.65,-63.57,70.0,76,8,9.98,CA,2020-06-24 23:15:21
291,Vostok,46.49,135.88,52.47,100,100,2.93,RU,2020-06-24 23:15:00
292,Stephenville,32.22,-98.2,87.8,43,1,8.05,US,2020-06-24 23:14:18
293,Bredasdorp,-34.53,20.04,48.2,93,0,3.96,ZA,2020-06-24 23:16:01
294,Kaitangata,-46.28,169.85,48.99,91,95,8.01,NZ,2020-06-24 23:16:01
295,Faya,18.39,42.45,71.6,46,44,4.59,SA,2020-06-24 23:16:01
296,Anloga,5.79,0.9,80.6,83,20,11.41,GH,2020-06-24 23:12:53
297,Pemangkat,1.17,108.97,75.07,91,100,6.22,ID,2020-06-24 23:13:24
298,Pontes E Lacerda,-15.23,-59.34,77.79,54,33,4.29,BR,2020-06-24 23:16:02
299,Saldanha,-33.01,17.94,53.6,87,0,4.7,ZA,2020-06-24 23:16:02
300,Hopelchen,19.77,-89.85,91.4,55,75,11.41,MX,2020-06-24 23:16:02
301,Acarau,-2.89,-40.12,79.02,78,84,11.52,BR,2020-06-24 23:16:02
302,Qaqortoq,60.72,-46.03,44.6,75,100,3.36,GL,2020-06-24 23:15:40
303,Uvalde,29.37,-99.77,93.2,32,99,8.05,US,2020-06-24 23:16:02
